,name,已發行受益權單位總數,預估發行受益權單位數
0,中信高評級公司債ETF基金,"3,416,790,000","3,419,290,000　(2023/10/13)"
1,中信優先金融債ETF基金,"2,420,290,000","2,451,290,000　(2023/10/13)"
2,中信美國公債20年ETF基金,"835,598,000","840,598,000　(2023/10/13)"
3,中信美國市政債ETF基金,"11,305,000","11,305,000　(2023/10/13)"
4,中信新興亞洲債ETF基金,"146,066,000","146,066,000　(2023/10/13)"
5,中信EM主權債0-5ETF基金,"526,106,000","526,106,000　(2023/10/13)"
6,中信投資級公司債ETF基金,"581,881,000","581,881,000　(2023/10/13)"
7,中信全球電信債ETF基金,"480,964,000","480,964,000　(2023/10/13)"
8,中信美國公債0-1ETF基金,"43,722,000","43,722,000　(2023/10/13)"
9,中信ESG投資級債ETF基金,"16,258,000","16,258,000　(2023/10/13)"
10,中信低碳新興債ETF基金,"26,440,000","26,440,000　(2023/10/13)"
