,name,已發行受益權單位總數,預估發行受益權單位數
0,元大00679B,"3,999,692,000","3,999,692,000"
1,元大00681R,"11,094,000","11,094,000"
2,元大00719B,"163,514,000","163,014,000"
3,元大00721B,"4,622,000","4,622,000"
4,元大00786B,"17,566,000","17,566,000"
5,元大00788B,"21,206,000","21,206,000"
6,元大00680L,"1,365,076,000","1,410,076,000"
7,元大00697B,"19,212,000","19,212,000"
8,元大00720B,"2,783,609,000","2,825,609,000"
9,元大00751B,"3,244,603,000","3,265,603,000"
10,元大00787B,"10,306,000","10,306,000"
11,元大00870B,"456,151,000","456,151,000"
