,name,已發行受益權單位總數,預估發行受益權單位數
0,國泰20年期(以上)美國公債指數單日正向2倍基金,"359,615,000","366,615,000"
1,國泰20年期(以上)美國公債指數單日反向1倍基金,"9,389,000","9,389,000"
2,國泰10年以上投資級金融債券ETF基金,"632,458,000","632,458,000"
3,國泰20年期(以上)美國公債指數基金,"1,576,787,000","1,576,787,000"
4,國泰10年期(以上)BBB美元息收公司債券基金,"2,291,706,000","2,292,706,000"
5,國泰優選1-5年美元非投資等級債券基金,"91,689,000","91,689,000"
6,國泰新興市場5年期(以上)美元息收投資等級債券基金,"1,135,489,000","1,135,489,000"
7,國泰富時中國5年期以上政策金融債券ETF基金,"1,728,000","1,728,000"
8,國泰10年期以上A等級美元公司債券ETF基金,"2,450,089,000","2,448,089,000"
9,國泰7-10年A等級金融產業債券基金,"271,102,000","271,102,000"
10,國泰15年期以上A等級科技產業債券基金,"4,836,000","4,836,000"
11,國泰15年期以上A等級公用事業產業債券基金,"27,467,000","27,467,000"
12,國泰15年期以上A等級醫療保健產業債券基金,"7,036,000","7,036,000"
13,國泰美國短期公債ETF基金,"9,744,000","9,744,000"
