,name,已發行受益權單位總數,預估發行受益權單位數
0,00722B 群益投資級電信債(原上櫃ETF簡稱:群益15年IG電信債),"1,281,739,000","1,294,239,000"
1,00723B 群益投資級科技債(原上櫃ETF簡稱:群益15年IG科技債),"1,256,583,000","1,256,583,000"
2,00724B 群益投資級金融債(原上櫃ETF簡稱:群益10年IG金融債),"2,818,275,000","2,818,775,000"
3,00754B 群益AAA-AA公司債,"554,900,000","553,900,000"
4,00755B 群益投資級公用債(原上櫃ETF簡稱:群益15年IG公用債),"169,730,000","169,730,000"
5,00756B 群益投等新興公債(原上櫃ETF簡稱:群益15年EM主權債),"1,165,300,000","1,165,300,000"
6,00764B 群益25年美債,"990,000,000","990,500,000"
7,00792B 群益A級公司債,"1,526,115,000","1,556,115,000"
8,00793B 群益AAA-A醫療債,"4,026,000","4,026,000"
9,00794B 群益7+中國政金債,"38,687,000","38,687,000"
10,00859B 群益0-1年美債,"4,511,000","4,511,000"
11,00860B 群益1-5Y投資級債(原上櫃ETF簡稱:群益1-5年IG債),"3,171,000","3,171,000"
